rank,product,brand_date,rating,price,category,review
1,일리코 코듀로이 밍크안감 배기 밴딩팬츠 골덴 바지 ,2019.11.,4.4,"13,900",바지,614
2,듀엘 폭스털 롱 구스 다운패딩 D194PSG801 ,대현,4.7,"218,020",점퍼,58
3,오조이 자체제작 울 30 플리츠 모직 롱 밴딩 스커트 ,오조이,4.6,"14,900",스커트,"1,043"
4,에고이스트 프리미엄 사가폭스 슬림 벨티드 구스다운 EK4TD007 ,아이올리,4.8,"252,630",점퍼,81
5,지오스피릿 여성 리몬타원단 SAGA FUR 이태리구스 다운 ,2019.11.,4.8,"295,740",점퍼,406
6,에고이스트 와이드 폭스퍼 구스 롱다운 EK4TD002 ,아이올리,4.5,"258,790",점퍼,32
7,GGPX 카라 폭스퍼 숏 구스패딩 GJDBDU992F ,연승어패럴,4.5,"117,550",점퍼,157
8,AND 19 Winter 사가 폭스카라 양모 100 롱코트 ,AND,4.9,"265,220",코트,765
9,미리주문10 A G 엣지 캐시미어 50 홀가먼트 터틀 WINTER19 ,2019.11.,4.7,"67,080",점퍼,"1,054"
10,비지트인뉴욕 테일러드 롱코트 ,비지트인뉴욕,4.8,"72,510",코트,372
11,미리주문10 A G 엣지 블루폭스퍼 헝가리 구스 다운 WINTER19 ,2019.10.,4.6,"125,100",점퍼,258
12,에이치커넥트 착장 하이넥 숏 다운 점퍼 30240-113-883-49 ,브랜디드라이프스타일코리아,4.5,"56,910",점퍼,40
13,빈폴레이디스 옐로이시 울 캐시미어 A라인 트렌치형 코트 BF9X30C10B ,삼성물산,5,"452,160",코트,12
14,울100 루즈핏 핸드메이드코트 ,2019.12.,4.7,"55,800",코트,15
15,나이스크랍 폭스퍼 롱 패딩점퍼 N194YWDA01 ,롯데지에프알,4.8,"183,720",점퍼,19
16,지오다노 여 패딩 숏 푸파 379921 ,지오다노,4.6,"67,020",점퍼,99
17,베라왕 19FW 구스 코트 + 후드 숄 세트 ,엠에이치티,4.7,"152,830",코트,211
18,리틀마켓 세미 와이드 일자 코듀로이팬츠 GAJA9APK ,리틀마켓,4.3,"17,010",바지,327
19,보브 와이드 퍼 카라 구스다운 점퍼 7159417304 ,신세계인터네셔날,4.4,"325,920",점퍼,19
20,지오다노 퀄팅 경량 조끼 379902 ,지오다노,4.7,"37,530",조끼,255
21,최강 속 기모 골덴 배기 바지 ,2019.10.,4,"14,700",바지,"1,206"
22,밍크 퍼 카라 패딩 웰론패딩 ,2019.11.,4.5,"22,860",점퍼,4
23,다이아 캐시미어 골지 목폴라니트 ,2019.11.,4.3,"34,000",니트/스웨터,749
24,지오다노 브러쉬드 테리 조거 팬츠 419924 ,지오다노,4.6,"16,140",바지,107
25,오조이 니트 플리츠 플레어 롱 밴딩 스커트 ,오조이,4.5,"16,500",스커트,"9,114"
26,솔로이스트 폭스퍼 후드 구스다운 숏 패딩 SAEJD502 ,솔로이스트,4.6,"65,830",점퍼,5
27,지오다노 크루넥 경량 패딩조끼 379903 ,지오다노,4.7,"29,380",조끼,256
28,여자 겨울 면스판 기모 레깅스 쫄바지 ,2019.11.,4.4,"13,500",레깅스,"1,145"
29,하이웨스트 코듀로이 일자팬츠 9960 ,2019.10.,4.5,"23,900",바지,752
30,부드러운 캐시미어 울 반목 폴라 니트티 ,2019.11.,4,"15,800",니트/스웨터,352
31,나이스크랍 벨티드 롱구스 패딩 A194PWDA03 ,롯데지에프알,4.8,"256,949",점퍼,13
32,에고이스트 테잎 디테일 볼륨 숏 구스다운 EK4TD006 ,아이올리,4.7,"240,600",점퍼,53
33,당일출발무배 구스다운 오리털 경량 이너 패딩조끼 ,2019.11.,4.5,"19,800",조끼,259
34,부들 캐시미어 반목 폴라 니트 ,2019.10.,4.7,"18,900",니트/스웨터,"1,626"
35,오리털 100 여성 경량 롱패딩 조끼 ,2019.10.,4.3,"21,900",조끼,652
36,지컷 큐트 폭스퍼 후드 구스다운 점퍼 7259417005 ,신세계인터네셔날,4.5,"243,950",점퍼,91
37,에고이스트 라글란 볼륨 구스 숏다운 EK4TD001 ,아이올리,4.7,"223,350",점퍼,50
38,플라스틱아일랜드 V넥 레이스장식 뷔스티에 원피스 PK4WO131 ,아이올리,3.7,"43,230",원피스,23
39,포근한 골지 니트 롱 원피스 ,2019.10.,4.6,"30,850",원피스,"1,224"
