rank,product,brand,rating,feature,rec_type,category,review
1,토니모리 원더 세라마이드 모찌 토너 500ml ,토니모리,4.7, 촉촉함(수분공급),피부진정,스킨/토너,"8,163"
2,라네즈 크림 스킨 150ml ,아모레퍼시픽,4.7, 촉촉함(수분공급),피부탄력,스킨/토너,"7,320"
3,라운드랩 1025 독도 토너 500ml ,라운드랩,4.7, 촉촉함(수분공급),촉촉함(수분공급),스킨/토너,"14,095"
4,구달 청귤 비타C 토너 패드 70매 ,코스맥스,4.6, 촉촉함(수분공급),"피부결정돈, 유수분밸런스조절",스킨/토너,"2,356"
5,더랩바이블랑두 올리고 히알루론산 5000 토너 200ml ,더랩바이블랑두,4.6, 촉촉함(수분공급),피부탄력,스킨/토너,"26,996"
6,라운드랩 1025 독도 토너 200ml ,나투젠,4.7, ,모든피부용,스킨/토너,"18,912"
7,설화수 자음 수 125ml ,아모레퍼시픽,4.8, ,모든피부용,스킨/토너,"7,577"
8,썸바이미 아하 바하 파하 30 데이즈 미라클 토너 150ml ,썸바이미,4.6," 촉촉함(수분공급), 트러블케어","피부진정, 피부결정돈, 유수분밸런스조절",스킨/토너,"13,191"
9,닥터지 레드 블레미쉬 수딩 토너 400ml ,코스맥스,4.6, 촉촉함(수분공급),피부진정,스킨/토너,635
10,닥터지 레드 블레미쉬 클리어 수딩 토너 300ml ,한국콜마,4.7," 촉촉함(수분공급), 저자극","각질케어, 피지케어, 피부진정",스킨/토너,702
11,아크네스 세범 밸런싱 스킨 180ml ,아크네스,4.7, 촉촉함(수분공급),촉촉함(수분공급),스킨/토너,"2,197"
12,마몽드 로즈 워터 토너 500ml ,아모레퍼시픽,4.7, ,모든피부용,스킨/토너,"4,112"
13,이니스프리 슈퍼푸드 블루베리 리밸런싱 스킨 350ml ,이니스프리,4.7, 유수분밸런스조절,유수분밸런스조절,스킨/토너,"1,660"
14,"아이소이 아크니 닥터 퍼스트 컨트롤 토닉 130ml(지성, 민감성) ",다비드화장품,4.7, 모공케어,모공케어,스킨/토너,"4,463"
15,코스알엑스 풀핏 프로폴리스 시너지 토너 280ml ,코스알엑스,4.7," 촉촉함(수분공급), 저자극","피부탄력, 피부진정",스킨/토너,782
16,더랩바이블랑두 올리고 히알루론산 5000 토너 500ml ,더랩바이블랑두,4.7," 촉촉함(수분공급), 저자극","흡수력, 피부진정",스킨/토너,"2,357"
17,라로슈포제 똘러리앙 더모 수딩 토너 200ml ,라로슈포제,4.8, 촉촉함(수분공급),피부진정,스킨/토너,"4,294"
18,키엘 울트라 페이셜 토너 250ml ,키엘,4.8, ,모든피부용,스킨/토너,"15,279"
19,프리메라 오가니언스 워터 180ml ,아모레퍼시픽,4.8, ,모든피부용,스킨/토너,"4,747"
20,이즈앤트리 히아루론산 토너 200ml ,이즈앤트리,4.7, ,모든피부용,스킨/토너,"11,158"
21,세이어스 언센티드 위치하젤 토너 355ml ,헨리세이어&컴퍼니,4.7, ,모든피부용,스킨/토너,"5,724"
22,해서린 모닝 부스트 앰플 토너 (아침토너) 300ml ,해서린,4.5, 촉촉함(수분공급),피부결정돈,스킨/토너,"1,420"
23,싸이닉 더 심플 카밍 토너 300ml ,코스메카,4.7, 촉촉함(수분공급),"피부진정, 피부결정돈",스킨/토너,"2,597"
24,마녀공장 갈락토미 클리어스킨 토너 150ml ,아이큐어,4.7, 촉촉함(수분공급),각질케어,스킨/토너,"19,538"
25,더샘 더마 플랜 필링 토너 패드 70매 ,더샘,4.6, 촉촉함(수분공급),"피부진정, 피부결정돈",스킨/토너,599
26,리리코스 카밍 퓨어 워터 320ml ,리리코스,4.7, 촉촉함(수분공급),촉촉함(수분공급),스킨/토너,"3,821"
27,에뛰드하우스 순정 약산성 5.5 진정 토너 180ml ,에뛰드,4.7, 트러블케어,트러블케어,스킨/토너,"2,332"
28,토소웅 시카 버블토너 1000ml ,토소웅,4.6, 촉촉함(수분공급),"피부진정, 피부결정돈, 유수분밸런스조절",스킨/토너,"5,633"
29,파파레서피 가지 클리어링 필링 패드 토너 60매 ,파파레서피,4.7, ,페이스용,스킨/토너,514
30,에뛰드하우스 순정 약산성 5.5 진정 대용량 350ml ,코스비전,4.8, 피부진정,피부진정,스킨/토너,472
31,이니스프리 비자 트러블 스킨 200ml（신형） ,코스비전,4.7, 트러블케어,각질케어,스킨/토너,791
32,이즈앤트리 히아루론산 토너 400ml ,에스겔화장품,4.8, 촉촉함(수분공급),피부결정돈,스킨/토너,"1,999"
33,마몽드 캐모마일 퓨어 토너 250ml ,마몽드,4.7, 피부진정,피부진정,스킨/토너,"1,648"
34,벤튼 파하 필링 토너 150ml ,결고은사람들,4.6," 촉촉함(수분공급), 저자극","각질케어, 흡수력, 피부탄력, 피부결정돈",스킨/토너,163
35,하루하루 원더 블랙라이스 히알루로닉 토너 150ml ,지디케이화장품,4.9, 촉촉함(수분공급),"피부탄력, 피부결정돈",스킨/토너,866
36,한율 어린쑥 수분진정 토너 150ml ,아모레퍼시픽,4.7, ,모든피부용,스킨/토너,"9,347"
37,닥터자르트 세라마이딘 리퀴드 150ml ,해브앤비,4.8, 촉촉함(수분공급),촉촉함(수분공급),스킨/토너,685
38,하다라보 고쿠쥰 로션 170ml ,멘소래담,4.7, ,모든피부용,스킨/토너,"7,115"
39,라로슈포제 에빠끌라 클래리파잉 모이스처라이징 로션 200ml(지성) ,라로슈포제,4.8, 트러블케어,트러블케어,스킨/토너,"4,834"
40,유안재 어성초 수딩 스킨 토너 500ml ,유안재,4.6, 촉촉함(수분공급),"피부탄력, 피부진정",스킨/토너,"2,766"
41,유리스킨 에그플랜트 마스터 올인원 토너 180ml ,유리스킨,4.7, 촉촉함(수분공급),피부진정,스킨/토너,"1,068"
42,이니스프리 슈퍼푸드 블루베리 리밸런싱 스킨 150ml ,이니스프리,4.6, ,모든피부용,스킨/토너,"2,782"
43,셀퓨전씨 케이 솔루션 토너 1000ml ,셀퓨전씨,4.8, 민감성,민감성,스킨/토너,"1,562"
44,크리니크 클래리파잉 로션 2 400ml(중복합) ,크리니크,4.8," 중건성, 복합","중건성, 복합",스킨/토너,"3,230"
45,"빌리프 프라블럼 솔루션 그린 토너 200ml(지성, 민감성) ",엘지생활건강,4.8," 지성, 민감성","지성, 민감성",스킨/토너,"1,129"
